GP4	SHH	GP3	WNT	GP3/4
Glycolysis  Gluconeogenesis	0.979707993026036	0.979117793794718	1.04897185476288	NA	0.987065608646497
Citrate cycle (TCA cycle)	1.0343499765965	0.958657461233935	1.05542550196357	0.908614746265357	1.04295231394063
Pentose phosphate pathway	0.983789890234251	1.02126923907638	0.986681202579263	1.03166929299681	0.97659037511329
Pentose and glucuronate interconversions	1.06620427786788	1.02243101862588	NA	0.899471285842536	NA
Fructose and mannose metabolism	NA	0.975144701493334	0.988193630742807	NA	1.04610514253533
Galactose metabolism	NA	NA	1.01355013246368	NA	NA
Ascorbate and aldarate metabolism	1.19909420245803	0.882633689891842	0.902778147029506	0.926902226395294	1.08859173422532
Starch and sucrose metabolism	0.973457446382802	0.955629696991186	0.943872917520234	1.09702241432951	1.03001752477626
Amino sugar and nucleotide sugar metabolism	1.04268295773985	0.981878462504066	NA	0.956587116656419	1.01640377694422
Pyruvate metabolism	1.03485237626819	0.968050228256436	1.01349829976131	0.928682114265929	1.05491698144814
Glyoxylate and dicarboxylate metabolism	1.04065594488495	1.01879590819217	1.01297352256635	0.938411715928064	NA
Propanoate metabolism	NA	1.01826638749529	NA	NA	NA
Butanoate metabolism	1.01430715510757	1.03466925810598	0.959454565543191	1.03480407082817	0.956764950415088
Inositol phosphate metabolism	1.06558805227033	0.990019555176803	0.977475577976178	0.94947371820074	1.01744309637595
Oxidative phosphorylation	0.98653945278961	0.917768891476236	1.05913388553423	NA	1.05250820438541
Nitrogen metabolism	1.06010423316707	0.977368151387771	NA	0.925040687169028	1.03754504522185
Sulfur metabolism	0.954431519886098	1.02818838513672	NA	1.0498564301225	0.970929613557423
Fatty acid biosynthesis	NA	0.923896912459227	NA	0.955398265704714	1.11772985338264
Fatty acid elongation	0.989374488428911	0.950169081499244	0.989797927976457	0.973864879789158	1.09679362230623
Fatty acid degradation	1.01825356969947	0.952458733568463	0.944346843496486	0.971667398157668	1.11327345507792
Synthesis and degradation of ketone bodies	0.947920186638129	1.12910806322633	0.960633807523848	NA	0.940666632729839
Steroid biosynthesis	0.971685355260214	1.11416062132979	1.02666439819881	0.954405610135985	0.933084015075207
Primary bile acid biosynthesis	1.01608487589052	0.963844745381769	1.01424834064369	NA	NA
Steroid hormone biosynthesis	NA	NA	0.957416076173239	1.05525591263831	0.979009778048147
Glycerolipid metabolism	NA	1.0356655902305	NA	0.940289993279504	1.01808919608691
Glycerophospholipid metabolism	1.03768263386325	NA	NA	0.948557039986889	NA
Ether lipid metabolism	1.05311573390273	NA	NA	0.950115577544447	NA
Sphingolipid metabolism	1.08282879510385	0.966152907000072	NA	0.965671579173959	NA
Arachidonic acid metabolism	0.957281403871694	1.06077519885326	0.956109659892903	1.06265422571351	0.963179511668638
Linoleic acid metabolism	NA	0.983346531224747	0.983894459613335	NA	1.04307416291809
alpha-Linolenic acid metabolism	1.07591233886001	NA	1.01421141072336	0.915956950079452	NA
Biosynthesis of unsaturated fatty acids	0.987817624936936	1.07959028688777	1.07179935736794	0.913917948980265	0.94687478182709
Purine metabolism	1.02746189771461	1.02331305332268	0.995506295041711	0.965955827645774	0.98776292627522
Pyrimidine metabolism	1.02909748435065	1.0194921220634	1.02491301958605	0.926468726984707	NA
Alanine, aspartate and glutamate metabolism	1.06725179764685	1.02508104035307	NA	0.939550488222954	0.967085941623002
Glycine, serine and threonine metabolism	NA	1.01034444175378	0.953539527063302	1.05004149027931	0.986642694745556
Cysteine and methionine metabolism	1.01137851638548	1.02712019940283	0.990166653226136	0.964959365173804	NA
Valine, leucine and isoleucine degradation	1.02657881202232	1.03206505786676	0.986858069752961	0.952161242971533	NA
Lysine degradation	1.10328759337897	NA	NA	0.904700998921696	0.981994424802981
Arginine biosynthesis	1.01921814943379	0.98949066255739	1.01980898935456	0.980406037355228	NA
Arginine and proline metabolism	1.00551884005497	0.952043021923014	NA	1.04098192684499	NA
Histidine metabolism	1.02955201343682	1.01137041309935	NA	0.966632699877797	NA
Tyrosine metabolism	0.936483221903525	0.983708743945887	0.983798008558242	1.02717844432329	1.06883158126906
Phenylalanine metabolism	0.973398910330777	1.06819869259424	0.980345543036251	1.02837332940886	0.949683524629879
Tryptophan metabolism	0.955770503032645	0.945674849012379	NA	1.09420707341723	NA
Phenylalanine, tyrosine and tryptophan biosynthesis	0.978744304072279	0.941893481688749	NA	0.93642979336245	1.12598994696473
beta-Alanine metabolism	1.03857823012428	1.02805537112952	NA	0.93375370924618	NA
Taurine and hypotaurine metabolism	1.10286122997691	0.962515606761482	0.959164439626271	NA	NA
Phosphonate and phosphinate metabolism	1.03841552599648	1.08455361058727	0.977820772532425	NA	0.934539169554854
Selenocompound metabolism	NA	NA	1.01274327827982	0.942086978835458	1.06441315343588
Glutathione metabolism	0.988020867601008	1.01489322803514	1.04892856770805	0.951197598506219	NA
N-Glycan biosynthesis	1.05891378102177	NA	NA	0.969029356132517	0.978275134327607
Mucin type O-glycan biosynthesis	0.938015645220612	0.97626371212469	0.954417869306535	1.15004583045091	0.98125694289725
Mannose type O-glycan biosynthesis	1.1202674212093	NA	1.0511583717788	0.842223686678061	NA
Other types of O-glycan biosynthesis	1.04427566724555	1.03728271890493	0.945403110395848	NA	0.956958153645263
Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate	NA	0.98279231650795	0.953171189058599	1.12516960390866	0.941493087861795
Glycosaminoglycan biosynthesis - heparan sulfate / heparin	0.964254034255238	1.11640952960427	0.95376055636834	0.977630107481942	NA
Glycosaminoglycan biosynthesis - keratan sulfate	1.08783213434095	0.97771730406686	NA	0.966727819387656	0.969716634085629
Glycosaminoglycan degradation	1.0591556089107	0.985071569842514	0.979040311325213	NA	NA
Glycosylphosphatidylinositol (GPI)-anchor biosynthesis	1.06847268849058	NA	0.989265888723091	0.908539825233209	1.02766877889495
Glycosphingolipid biosynthesis - lacto and neolacto series	NA	1.08775913865368	0.98547199634381	0.960626679635144	0.961929783804255
Glycosphingolipid biosynthesis - globo and isoglobo series	1.04027262672681	1.07059331759854	0.96969260904228	0.949882079686401	0.96955936694597
Glycosphingolipid biosynthesis - ganglio series	1.017890381386	1.02791291774101	0.941966551959036	0.973189581576749	1.03904056733721
Other glycan degradation	1.06696691905349	NA	1.01121298143335	0.941495156532636	NA
Thiamine metabolism	NA	0.968014866194742	NA	1.0247771108419	NA
Riboflavin metabolism	NA	0.930943287118996	1.06869540942415	0.87792791619948	1.12923693669717
Vitamin B6 metabolism	0.947391099500922	0.884869149563172	NA	1.05930433905656	1.10761322686358
Nicotinate and nicotinamide metabolism	1.03922923805252	1.0285953592855	0.975186371866259	0.970732627328613	0.986256403467107
Pantothenate and CoA biosynthesis	1.04937953995821	NA	NA	0.928208782547678	NA
Folate biosynthesis	1.01128924529269	0.968803881024024	NA	1.06414229633888	0.96039211519168
