GP4-B1	GP4-C1	GP4-B2	GP4-A2	GP4-A1	GP4-X1	GP4-C2	SHH-C1	SHH-A1	SHH-B1	SHH-B2	SHH-A2	SHH-C2	GP3-B1	GP3-A	GP3-C1	GP3-C2	GP3-B2	WNT	GP4-X2	GP4-X3
Glycolysis  Gluconeogenesis	0	0	0	0	0	0	0	0	0	0	0	0	0.002	0	0	0	0	0.013	0	0.143	0
Citrate cycle (TCA cycle)	0	0	0	0	0	0	0	0	0.09	0	0	0	0.008	0	0	0	0	0.001	0.032	0	0
Pentose phosphate pathway	0.007	0	0	0	0.421	0	0	0	0	0	0	0	0.01	0	0.001	0	0.287	0.005	0	0.145	0
Pentose and glucuronate interconversions	0.479	0	0	0.007	0	0	0.029	0	0	0	0.114	0	0	0	0	0	0.009	0.105	0.03	0.147	0.013
Fructose and mannose metabolism	0	0	0	0.184	0.018	0.002	0	0	0.035	0	0.001	0.043	0	0.002	0.469	0.115	0	0.424	0	0.434	0.483
Galactose metabolism	0.013	0	0	0.14	0.002	0	0	0.019	0.02	0	0.003	0.119	0	0	0.207	0	0	0.061	0	0.059	0.258
Ascorbate and aldarate metabolism	0	0	0	0	0	0.028	0.004	0	0	0.008	0.051	0.018	0	0.001	0	0	0	0.003	0.018	0.177	0.023
Starch and sucrose metabolism	0	0	0	0.003	0	0	0	0	0	0.014	0	0.11	0.039	0	0	0	0	0.397	0	0.152	0.105
Amino sugar and nucleotide sugar metabolism	0	0	0.432	0.003	0.04	0.013	0	0	0	0.338	0	0.158	0.051	0.007	0.195	0.013	0	0.462	0.008	0.241	0.3
Pyruvate metabolism	0	0	0	0	0	0	0	0	0.2	0.01	0.023	0	0	0	0	0	0	0.093	0.138	0	0.001
Glyoxylate and dicarboxylate metabolism	0.002	0	0.009	0.371	0.05	0	0.061	0	0.025	0	0	0.246	0.073	0	0	0.003	0.419	0.458	0	0.047	0.089
Propanoate metabolism	0.123	0	0.264	0	0.01	0	0.011	0.001	0.119	0	0.235	0.096	0.005	0	0.044	0	0	0.014	0	0.364	0.054
Butanoate metabolism	0.001	0	0	0	0.271	0.006	0.002	0.016	0.001	0.016	0.171	0	0.032	0	0.327	0	0.007	0.032	0.05	0.001	0.048
Inositol phosphate metabolism	0.001	0	0	0	0.16	0.02	0	0	0	0	0	0	0	0	0.012	0	0	0	0.44	0.248	0
Oxidative phosphorylation	0	0	0	0	0	0	0	0	0.037	0	0	0	0.112	0	0	0	0	0.002	0	0	0
Nitrogen metabolism	0.466	0.021	0.002	0.334	0	0.233	0.146	0.172	0	0.001	0	0.102	0.011	0.001	0.445	0.002	0.043	0.245	0.001	0.302	0.306
Sulfur metabolism	0.323	0	0	0	0	0	0.005	0.015	0.026	0	0	0.126	0.023	0	0.052	0.006	0.001	0.071	0	0	0.001
Fatty acid biosynthesis	0.386	0.002	0	0.424	0.106	0	0.005	0	0	0	0	0.117	0.281	0	0.032	0	0	0.002	0	0.254	0.324
Fatty acid elongation	0.002	0	0.055	0	0.053	0	0.01	0	0.375	0	0.007	0.072	0	0	0.158	0	0	0.451	0	0.286	0.067
Fatty acid degradation	0	0	0.003	0	0	0	0	0	0.12	0.007	0.22	0.001	0	0	0.156	0	0	0	0	0.163	0.482
Synthesis and degradation of ketone bodies	0.001	0	0	0	0.036	0	0	0.008	0	0	0.037	0	0.018	0.12	0.154	0	0.038	0.299	0	0.004	0
Steroid biosynthesis	0.001	0	0	0	0.149	0	0.02	0.376	0	0	0	0.001	0	0	0	0	0.266	0.089	0.07	0.201	0
Primary bile acid biosynthesis	0	0	0.006	0	0.175	0	0	0	0	0.054	0.168	0	0	0	0.198	0.004	0	0.018	0.011	0.005	0.336
Steroid hormone biosynthesis	0.114	0	0.059	0	0	0	0.071	0.019	0.476	0	0	0.484	0.025	0.435	0	0	0	0.019	0	0.324	0.453
Glycerolipid metabolism	0	0	0	0.051	0	0	0	0	0.252	0	0	0	0.237	0	0.479	0	0	0	0	0.013	0.138
Glycerophospholipid metabolism	0.219	0	0	0.348	0	0	0.009	0	0	0	0	0.002	0	0	0.331	0	0	0	0	0.412	0.003
Ether lipid metabolism	0	0.201	0	0.326	0	0.064	0	0.246	0	0	0	0.142	0.012	0	0.162	0	0	0	0.291	0.067	0.144
Sphingolipid metabolism	0	0	0	0	0.007	0.014	0	0.021	0	0	0	0.328	0	0	0.004	0	0	0.003	0	0.005	0.147
Arachidonic acid metabolism	0	0	0	0	0	0	0.051	0.008	0.505	0	0	0.11	0.029	0	0	0	0.347	0.405	0	0	0.382
Linoleic acid metabolism	0.251	0.455	0	0.237	0.003	0.329	0	0.118	0	0.001	0	0.004	0	0.002	0	0	0	0.024	0.287	0.017	0.047
alpha-Linolenic acid metabolism	0	0	0.065	0.063	0.05	0.241	0	0.004	0	0	0	0.076	0.339	0	0.06	0	0	0	0.001	0.327	0.392
Biosynthesis of unsaturated fatty acids	0.015	0	0	0.012	0.034	0	0.009	0.071	0.025	0.059	0.438	0.009	0.022	0	0	0.292	0.004	0	0.012	0.004	0.004
Purine metabolism	0.064	0	0	0.031	0	0	0	0	0	0	0	0.002	0	0	0	0	0.036	0.055	0	0.073	0
Pyrimidine metabolism	0	0	0	0.023	0	0	0.064	0	0	0	0	0	0	0	0	0	0.037	0.251	0.034	0.211	0
Alanine, aspartate and glutamate metabolism	0.324	0	0	0	0.096	0	0.004	0	0.316	0	0.003	0	0.038	0	0.357	0	0	0.084	0.004	0.023	0.031
Glycine, serine and threonine metabolism	0	0	0	0	0	0.454	0	0	0.02	0	0.31	0	0	0	0.101	0	0	0.153	0	0.444	0.089
Cysteine and methionine metabolism	0	0	0	0	0.095	0	0.273	0	0	0	0.37	0	0	0	0	0	0	0.38	0	0.205	0.029
Valine, leucine and isoleucine degradation	0	0.001	0	0.032	0	0	0	0	0	0	0	0	0	0	0	0.105	0	0.063	0	0.51	0
