GP4-B1	GP4-C1	GP4-B2	GP4-A2	GP4-A1	GP4-X1	GP4-C2	SHH-C1	SHH-A1	SHH-B1	SHH-B2	SHH-A2	SHH-C2	GP3-B1	GP3-A	GP3-C1	GP3-C2	GP3-B2	WNT	GP4-X2	GP4-X3
Glycolysis  Gluconeogenesis	1.09952261396837	0.749372416095897	1.15222629767263	0.751080568204138	1.06986381450027	0.915469822896126	1.04703512493069	0.7503741510389	1.04582533903717	1.04630407774667	1.16685793023888	0.833047284555412	0.955516054387008	1.24517571420381	1.15506823811167	0.936732066855416	1.11433730877934	NA	1.1912918233329	NA	0.736556398817267
Citrate cycle (TCA cycle)	1.08437832664278	0.831353177023649	1.11464343439555	0.842473630159595	1.0512752867266	0.908644665798027	1.05058574390046	0.833130013528268	NA	1.06023515156283	1.08449704404436	0.861339220909186	0.971872162507246	1.1362223467465	1.11249245772395	0.938670113751891	1.1131774655005	1.08693560356191	NA	1.08825679812683	0.793792597525096
Pentose phosphate pathway	0.98271085848054	0.814628164245164	1.07544521522262	0.820761835552139	NA	0.837066058444574	0.958821371444678	0.838174097232305	1.09845100587568	1.13309961490701	1.28794460113343	0.924136253010358	1.03694829025589	1.14115774597324	1.02880392359451	0.865466359196378	NA	1.0852642891641	1.22270135041658	NA	0.819790654022943
Pentose and glucuronate interconversions	NA	0.871297864731962	1.03537481462875	0.963281794472082	1.10074675820178	0.904517412579759	NA	0.909527506490381	1.12070333265562	1.1409979969939	NA	1.09918570420051	0.914349081727221	1.09628122298192	1.08372536891153	0.903311180667276	0.981948680255578	NA	NA	NA	NA
Fructose and mannose metabolism	0.968897354233069	0.949257253850172	0.955365100007718	NA	NA	0.963690894778537	1.03523395451685	0.962026951169028	NA	1.0366586632357	0.970132688228736	NA	0.955475276245184	1.01762264297038	NA	NA	1.0839994918723	NA	1.11947651211721	NA	NA
Galactose metabolism	NA	0.973254907538321	0.961537131453174	NA	0.975953382006688	0.918121109638117	1.06066160611764	NA	NA	1.02775471996917	0.97445839109623	NA	0.962904009551435	1.03905926430523	NA	1.04015358589647	1.0579568086633	NA	1.1004239218273	NA	NA
Ascorbate and aldarate metabolism	1.16885104399226	1.06869829564025	1.15307378489624	1.15925642423307	1.08569094605994	NA	1.06986103584601	0.835500846503751	0.905208266797586	0.964771286876885	NA	NA	0.89917421876651	0.965319422045073	0.942827312161061	0.901065548865262	1.06493659911338	0.897718029406284	NA	NA	NA
Starch and sucrose metabolism	0.965284902665686	1.02361300692446	0.910350249994443	0.96871033902086	0.918895203703071	0.926561452248809	1.07133764095158	1.09097106131254	0.95277422946745	NA	0.944263173991117	NA	NA	0.964417289990277	0.955538547891865	1.04192123719531	1.11960518756797	NA	1.0447917152583	NA	NA
Amino sugar and nucleotide sugar metabolism	1.03368656752058	0.981269544565298	NA	0.976067325804111	NA	NA	1.06140867337142	0.977981109002055	0.94930036487004	NA	0.958057324643932	NA	NA	1.01278756413852	NA	NA	1.04365288513714	NA	1.0216981371912	NA	NA
Pyruvate metabolism	1.09166054649399	0.880382160184126	1.13200232582002	0.935014235127392	1.1252251774111	0.920351118954708	1.08938864410691	0.820984285408422	NA	0.980260626974012	NA	0.897935192170834	0.91521233648292	1.08424441439181	1.08691971482064	0.931446417278492	1.12378691357754	NA	NA	1.1165488423567	0.852527061645748
Glyoxylate and dicarboxylate metabolism	0.979319845293719	0.918476143725013	0.980530488269171	NA	NA	0.909770833777534	NA	0.922728542488172	NA	1.08571313378275	1.06006633022904	NA	NA	1.04131169050147	1.06649722375266	0.981545542983925	NA	NA	1.09401945665919	NA	NA
Propanoate metabolism	NA	0.928616034957403	NA	0.903871133402565	0.976341517323808	0.925328344676278	NA	0.971104707326254	NA	1.06088209510934	NA	NA	0.969515521764636	1.04779640995726	NA	0.95406870653057	1.04399406721612	NA	1.15488654299303	NA	NA
